stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
E2296,52.515233,-0.794532,481900.0,291500.0,2.95,0.0,2.1,0.028,0.54,level,Stage,mASD
45136,50.820959,-3.65782,283320.0,103690.0,2.751,0.0,2.0,0.176,0.809,level,Stage,m
49120,50.501243,-4.500737,222751.0,69815.0,2.05,0.101,1.5,0.266,0.693,level,Stage,m
4710,53.137597,-1.198884,453690.0,360350.0,1.661,0.5720000000000001,1.4,0.602,0.719,level,Stage,mASD
2604TH,51.524146,-0.7021029999999999,490140.0,181380.0,3.866,1.127,3.55,2.27,2.87,level,Stage,mASD
E4413,53.081293,-0.140778,524633.0,355402.0,1.539,0.0,1.1,0.094,0.364,level,Stage,mASD
45224,50.850029,-2.888672,337536.0,105989.0,3.954,0.0,2.1,0.805,1.2,level,Stage,m
L1205,53.707881,-1.912089,405900.0,423500.0,3.5540000000000003,-0.224,1.4,0.0,0.283,level,Stage,m
E21713,52.330595,-0.227967,520848.0,271757.0,2.099,0.037,1.514,0.09,0.542,level,Stage,m
2050,52.316208,-1.431466,438852.0,268831.0,3.253,0.04,1.159,0.238,1.151,level,Stage,mASD
712113,53.811466,-2.248409,383740.0,435050.0,3.362,0.13,2.17,0.19,0.854,level,Stage,m
710320,53.870513,-2.388461,374554.0,441661.0,1.336,0.035,1.53,0.069,0.387,level,Stage,m
2694TH,51.506197,-0.710164,489616.0,179374.0,2.038,0.748,1.71,0.776,1.183,level,Stage,mASD
755790,54.817425,-3.167142,325098.0,547579.0,2.555,0.008,1.3,0.1,0.185,level,Stage,m
F3803,54.477707,-1.298736,445538.0,509378.0,2.63,0.133,1.8,0.213,0.363,level,Stage,m
E23752,52.39784,0.093691,542548.0,279821.0,4.044,0.026,2.8,0.431,2.932,level,Stage,mAOD
3230TH,51.173918,-0.18323,527100.0,143200.0,3.444,0.003,2.42,0.189,1.145,level,Stage,mASD
47142,50.647179,-4.267416,239792.0,85509.0,2.527,0.01,0.975,0.118,0.562,level,Stage,m
43158,51.137063,-1.72023,419670.0,137570.0,0.896,0.0,0.6000000000000001,0.0,0.181,level,Stage,m
4066,52.484208,-1.731944,418300.0,287400.0,1.964,0.082,0.385,0.129,0.231,level,Stage,mASD
2816TH,51.793132,-0.396615,510676.0,211714.0,0.994,-0.601,0.8,-0.247,0.098,level,Stage,mASD
F2104,53.971293,-1.349003,442800.0,453000.0,3.057,0.007,0.7000000000000001,0.084,0.64,level,Stage,m
3290TH,51.381714,-0.3774929999999999,513010.0,165990.0,3.24,0.526,4.32,1.272,1.755,level,Stage,mASD
1995TH,51.619653,-1.073786,464220.0,191610.0,0.201,0.006,0.46,0.041,0.046,level,Stage,mASD
E1228,52.867461,-0.333163,512300.0,331300.0,2.283,-0.005,0.56,0.015,0.117,level,Stage,m
4770TH,51.837638,-0.2212889999999999,522646.0,216944.0,0.548,-0.457,0.66,-0.136,0.1,level,Stage,mASD
3074TH,51.210841,-0.5046269999999999,504550.0,146800.0,0.339,0.03,0.293,0.054,0.095,level,Stage,mASD
E21788,52.428112,-0.3542,512000.0,282400.0,3.6,0.983,2.2,1.015,1.517,level,Stage,mASD
L3805,54.468269,-1.194564,452300.0,508400.0,1.62,-0.06,1.62,0.01,0.155,level,Stage,m
53124,51.348874,-2.340892,376355.0,161144.0,3.609,0.27,2.9,0.499,2.021,level,Stage,m
E6642,50.981447,0.468833,573396.0,123128.0,1.66,0.0,1.4,0.062,0.229,level,Stage,mASD
E2300,52.823395,-0.536693,498700.0,326100.0,2.216,-0.01,0.98,0.035,0.258,level,Stage,m
43209,50.931417,-2.257544,381997.0,114695.0,3.382,0.087,2.56,0.145,2.393,level,Stage,m
3286TH,51.323836,-0.41269,510700.0,159500.0,3.46,0.877,2.7,1.012,2.154,level,Stage,mASD
022007,55.166194,-1.727617,417450.0,585800.0,4.067,0.139,2.0,0.221,1.008,level,Stage,m
46111,50.639783,-3.787037,273732.0,83757.0,1.748,0.0,1.0,0.069,0.47,level,Stage,m
744250,54.507361,-3.525782,301304.0,513523.0,3.3,0.29,2.6,0.427,0.674,level,Stage,m
49111,50.806416,-4.536465,221380.0,103830.0,1.284,-0.465,0.45,0.051,0.195,level,Stage,m
