stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
6303,52.423104,-1.431916,438728.0,280721.0,,,,
E23534,51.746754,0.624861,581300.0,208600.0,,,,
4208,52.969773,-1.07353,462317.0,341782.0,1.499,0.11,1.5,0.116
055002_TG 301,52.045084,-2.752202,348508.0,238789.0,6.987,0.083,3.8,0.17500000000000002
L0237,53.219025,-1.493093,433944.0,369229.0,1.528,-0.021,0.8,-0.01
E47907,52.751366,0.39331099999999997,561626.0,319770.0,,,,
46170,50.391126,-3.721845,277700.0,56000.0,,,,
2180,52.534933,-2.415835,371890.0,293090.0,5.264,0.316,3.6,0.521
2660,51.907359,-2.061419,395871.0,223205.0,0.32,0.0,0.05,0.0
44247,50.645967,-2.420835,370341.0,83005.0,,,,
E1555,53.704256,-0.365039,508025.0,424334.0,5.8100000000000005,,,
724830,53.991127,-2.787513,348464.0,455298.0,1.092,0.025,0.5,0.04
2548,52.300223,-2.751592,348844.0,267167.0,0.201,0.125,0.19,0.13
2514,51.699985,-2.360238,375200.0,200200.0,2.651,0.54,0.87,0.578
760112,54.512818,-2.364477,376500.0,513120.0,3.197,0.11,1.385,0.14
8207TH,51.415565105430375,-0.47762237589834605,505964.0,169605.0,,,,
F1701,53.738253,-1.290587,446891.0,427109.0,,,,
L1831,53.71016,-1.264561,448640.0,424001.0,1.952,-0.10400000000000001,0.212,0.022
E24317,52.21309,-0.281653,517500.0,258600.0,0.737,0.006,0.097,0.038
