stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
E71139,53.63018,-0.18742,519959.0,416378.0,5.305,,,,0.624,level,Tidal Level,mAOD
E22184,52.741419,0.3871949999999999,561250.0,318650.0,6.186,,,,2.732,level,Tidal Level,m
E71124,53.63022,-0.18742,519959.0,416382.0,,,,,4.524,level,Tidal Level,m
LN23999,55.007531,-1.439658,435936.0,568253.0,,,,,-0.659,level,Tidal Level,mAOD
E2081,52.890098,0.090848,540766.0,334564.0,,,,,2.182,level,Tidal Level,mAOD
BB_WEST_DR,51.515594,0.0970439999999999,545605.0,181715.0,,,,,-1.061,level,Tidal Level,mAOD
E7290,50.814742,0.357116,566147.0,104336.0,4.795,,,,1.114,level,Tidal Level,mAOD
E8980,50.828848,-0.24883,523426.0,104718.0,4.033,,,,0.776,level,Tidal Level,mAOD
48146,50.29063,-4.782053,201927.0,47111.0,,,,,0.478,level,Tidal Level,m
E26233,51.486254,0.228518,554826.0,178722.0,,,,,-0.973,level,Tidal Level,mAOD
E43214,51.809363,1.217564,621900.0,217200.0,,,,,0.0,level,Tidal Level,mAOD
E27431,52.465956,1.561267,642000.0,291300.0,,,,,0.116,level,Tidal Level,mAOD
DIFF_EastUR_WestDR,51.494354,0.026414,540770.0,179215.0,,,,,0.061,level,Tidal Level,m
E70939,55.007415,-1.439769,435929.0,568240.0,4.036,,,,-0.515,level,Tidal Level,mAOD
E70924,55.00744,-1.43978,435928.0,568243.0,,,,,2.085,level,Tidal Level,m
E14111,50.911049,-1.482017,436513.0,112526.0,2.664,,,,0.375,level,Tidal Level,mAOD
E24872,51.72865,0.7092569999999999,587200.0,206800.0,,,,,0.151,level,Tidal Level,mAOD
E12660,50.890128,-1.38803,443140.0,110250.0,2.875,,,,0.363,level,Tidal Level,mAOD
E1460,52.981286,-0.029852,532368.0,344477.0,,,,,1.459,level,Tidal Level,mAOD
53189,51.446249,-2.616828,357229.0,172099.0,,,,,3.269,level,Tidal Level,mAOD
E24861,51.784824,1.156997,617844.0,214289.0,3.756,,,,-1.126,level,Tidal Level,mAOD
E23931,52.649186,1.567619,641423.0,311693.0,1.088,0.15,0.95,0.14,0.632,level,Tidal Level,mAOD
E21150,52.745921,1.570233,641066.0,322457.0,0.902,0.095,0.77,0.0,0.567,level,Tidal Level,mAOD
E24093,51.891342,0.915231,600698.0,225438.0,,,,,1.569,level,Tidal Level,mAOD
53118,51.508182,-2.718065,350261.0,179051.0,,,,,2.835,level,Tidal Level,mAOD
E24816,52.606673,1.723383,652200.0,307500.0,,,,,0.376,level,Tidal Level,mAOD
E73624,54.65072,-3.56717,298980.0,529532.0,,,,,5.006,level,Tidal Level,m
E1555,53.704256,-0.365039,508025.0,424334.0,5.8100000000000005,,,,-1.639,level,Tidal Level,mAOD
E41694,52.165149,1.494612,639090.0,257635.0,2.51,,,,0.045,level,Tidal Level,mAOD
E23343,52.087062,1.316578,627315.0,248381.0,3.349,,,,0.5,level,Tidal Level,mAOD
E71339,52.875861,0.2183949999999999,549395.0,333238.0,,,,,-3.2,level,Tidal Level,mAOD
E70124,53.44969,-3.018,332490.0,395254.0,,,,,6.627,level,Tidal Level,m
E1631,53.192036,0.3551829999999999,557444.0,368696.0,,,,,1.12,level,Tidal Level,mAOD
E72539,51.210605,-3.131326,321070.0,146320.0,7.454,,,,1.6,level,Tidal Level,mAOD
E72524,51.211,-3.131,321093.0,146364.0,,,,,7.5,level,Tidal Level,m
E72623,51.5,-2.728,349562.0,178148.0,,,,,9.301,level,Tidal Level,mm
46164,50.276953,-3.772303,273811.0,43390.0,3.098,,,,0.852,level,Tidal Level,mAOD
E23917,52.530823,1.622843,645819.0,298720.0,1.785,-0.677,1.39,0.183,0.032,level,Tidal Level,mAOD
46163,50.235473,-3.767553,274040.0,38770.0,3.467,,,,0.963,level,Tidal Level,m
E72324,49.91847,-6.31642,90268.0,10966.0,,,,,2.479,level,Tidal Level,m
49116,50.541735,-4.936938,192000.0,75450.0,4.777,,,,2.65,level,Tidal Level,mAOD
E2080,52.872053,-0.044732,531700.0,332300.0,6.82,0.0,5.57,0.0,3.35,level,Tidal Level,mASD
E73939,55.20678,-6.65683,103846.0,600180.0,,,,,0.583,level,Tidal Level,mAOD
E70539,53.31394,-4.62044,225529.0,382871.0,,,,,1.605,level,Tidal Level,mAOD
E73139,52.01322,-4.983750000000001,195337.0,239182.0,,,,,1.349,level,Tidal Level,mAOD
E70439,57.89525,-5.15789,212929.0,893910.0,,,,,1.49,level,Tidal Level,mAOD
E4804,52.939133,0.0297239999999999,536500.0,339900.0,5.409,,,,-5.5,level,Tidal Level,mAOD
E70824,55.98983,-3.18169,326379.0,678062.0,,,,,1.959,level,Tidal Level,m
E72924,51.57,-3.97544,263188.0,187531.0,,,,,5.899,level,Tidal Level,m
E23327,52.958281,0.8495729999999999,591501.0,343902.0,5.215,,,,1.1,level,Tidal Level,mASD
E72839,51.55,-2.9874400000000003,331629.0,183920.0,,,,,2.535,level,Tidal Level,mAOD
E70739,57.14406,-2.07736,395417.0,805913.0,,,,,-0.141,level,Tidal Level,mAOD
E73024,51.70739,-5.05153,189261.0,205371.0,,,,,4.722,level,Tidal Level,m
E74039,55.74981,-4.9063300000000005,217690.0,654544.0,,,,,0.618,level,Tidal Level,mAOD
E73839,54.66475,-5.6694700000000005,163460.0,536151.0,,,,,0.73,level,Tidal Level,mAOD
E70624,58.44097,-3.08631,336679.0,950811.0,,,,,2.654,level,Tidal Level,m
E73524,54.08539,-4.76806,219040.0,469043.0,,,,,3.603,level,Tidal Level,m
E6415,50.947386,0.734753,592200.0,120000.0,5.234,,,,-0.832,level,Tidal Level,mAOD
E70339,58.45661,-5.05008,222145.0,956079.0,,,,,1.757,level,Tidal Level,mAOD
E74224,56.62311,-6.06422,150790.0,755309.0,,,,,3.208,level,Tidal Level,m
