stationReference,latestReading,parameter,qualifier,unitName
022003,0.17,level,Stage,m
E560,,level,Stage,mASD
2499TH,,level,Stage,---
690503,1.443,level,Stage,m
E7312,,level,Tidal Level,mAOD
E1299,0.413,level,Stage,mASD
L2409,3.744,level,Stage,m
3065TH,1.004,level,Downstream Stage,mASD
F3702,0.4,level,Stage,m
47139,1.063,level,Stage,m
L2905,0.35,level,Stage,m
E25940,0.29,level,Stage,m
E24102,,level,Stage,mASD
50195,0.444,level,Stage,m
693132,,level,Stage,---
E1660,0.483,level,Stage,mASD
3247TH,1.067,level,Stage,mASD
2002TH,,level,Stage,---
45211,0.936,level,Stage,m
E24821,0.362,level,Stage,mASD
712100,0.913,level,Stage,m
51105,0.309,level,Stage,m
44227,0.023,level,Stage,m
055811_TG_9303,3.757,level,Stage,mASD
3390TH,0.216,level,Stage,mASD
E2928,0.234,level,Stage,m
023025,0.873,level,Stage,m
2976TH,0.429,level,Stage,mASD
4053,0.481,level,Downstream Stage,mASD
E10824,0.564,level,Stage,mASD
L3370,0.332,level,Tidal Level,mAOD
1761TH,0.167,level,Stage,mASD
43108,0.848,level,Stage,mASD
4939TH,0.194,level,Stage,mASD
2223,0.373,level,Stage,mASD
L1540,0.921,level,Stage,m
682223,4.973,level,Stage,m
694748,0.655,level,Stage,m
43233,1.225,level,Stage,m
712175,0.365,level,Stage,m
2873TH,0.165,level,Stage,mASD
E22843,0.574,level,Stage,m
4320TH,,level,Downstream Stage,---
713122,0.719,level,Stage,m
52127,3.19,level,Stage,mASD
2669,0.209,level,Stage,mASD
L1388B,0.198,level,Stage,m
0390TH,2.256,level,Stage,mASD
4380TH,0.581,level,Stage,mASD
E22351,0.43,level,Stage,m
1757TH,1.313,level,Stage,mASD
E2608,0.054,level,Stage,mASD
E21107,0.25,level,Stage,m
5349TH,0.313,level,Stage,mASD
690160,,level,Stage,---
2038,1.327,level,Stage,mASD
L1355,,level,Stage,---
E22078,0.45,level,Stage,mASD
0144TH,1.444,level,Stage,mASD
724528,0.93,level,Stage,m
L0607,0.932,level,Stage,m
L1814,,level,Stage,---
730203,0.794,level,Stage,m
2899TH,,level,Stage,mASD
E60901,0.523,level,Stage,mASD
685520,0.916,level,Stage,m
50149,0.527,level,Stage,m
023053,0.566,level,Stage,m
4081,0.884,level,Stage,mASD
53149,0.546,level,Stage,m
3101TH,3.004,level,Downstream Stage,mASD
E24812,0.654,level,Tidal Level,mAOD
024000,0.293,level,Stage,m
44120,0.493,level,Stage,m
E23730,0.279,level,Stage,m
49173,,level,Stage,m
F0920,0.353,level,Stage,m
023016,,level,Stage,---
47120,0.304,level,Stage,m
692500,0.3,level,Stage,m
E22129,0.538,level,Tidal Level,mAOD
48189,0.493,level,Stage,m
L06601,0.227,level,Stage,m
2830TH,0.441,level,Stage,mASD
2432TH,1.279,level,Stage,mASD
4007,1.666,level,Stage,mASD
3829TH,-0.022,level,Downstream Stage,mASD
751612,1.198,level,Stage,m
52155,5.234,level,Sump Level,m
L2205,1.561,level,Stage,m
52118,4.506,level,Stage,mASD
E2896,0.294,level,Stage,mASD
021038,0.891,level,Stage,m
3210TH,,level,Stage,---
E72239,-0.328,level,Tidal Level,mAOD
E72224,2.722,level,Tidal Level,m
3240TH,1.657,level,Stage,mASD
765090,1.15,level,Stage,m
3270TH,-0.443,level,Downstream Stage,mASD
F0600,0.66,level,Stage,m
E12450,0.742,level,Stage,mASD
2029,1.587,level,Stage,mASD
692440,0.967,level,Stage,m
2458TH,0.784,level,Downstream Stage,mASD
E1183,0.266,level,Stage,m
0730TH,,level,Stage,---
52206,0.566,level,Stage,m
0790TH,0.636,level,Stage,mASD
3054TH,2.116,level,Stage,mASD
E25055,0.514,level,Stage,mASD
L1805,,level,Stage,---
2650,0.648,level,Stage,mASD
765512,2.698,level,Stage,m
E71839,0.458,level,Tidal Level,mAOD
E71824,3.188,level,Tidal Level,m
023044,,level,Stage,---
700509,1.122,level,Stage,m
4072,0.344,level,Stage,mASD
E24803,0.905,level,Stage,mAOD
2613,0.777,level,Downstream Stage,mASD
680324,1.022,level,Stage,m
44111,1.143,level,Tidal Level,mAOD
023007,0.28,level,Stage,m
1290_w2TH,0.53,level,Stage,mASD
E22022,1.262,level,Stage,mASD
46127,,level,Stage,m
E4828,0.551,level,Stage,mASD
2205,1.015,level,Stage,mASD
E22862,0.574,level,Stage,m
53130,1.165,level,Stage,m
E21163,0.427,level,Stage,mASD
43215,1.489,level,Stage,mAOD
45170,0.149,level,Stage,m
2094,0.684,level,Stage,mASD
022013,,level,Stage,mAOD
52109,0.609,level,Stage,m
45133,0.286,level,Stage,m
2057,3.805,level,Stage,mASD
L1374,,level,Stage,---
2892TH,1.668,level,Stage,mASD
E60201,0.212,level,Stage,mASD
L1708,,level,Stage,---
E8293,0.623,level,Stage,mASD
E19027,0.98,level,Stage,mASD
690142,0.32,level,Stage,m
2190TH,0.007,level,Downstream Stage,mASD
L24013,,level,Stage,---
2516,,level,Stage,m
TORQ,0.911,level,Tidal Level,mAOD
F0220,,level,Stage,---
4198,0.784,level,Stage,mASD
F1525,0.669,level,Stage,m
45221,0.392,level,Stage,m
L1202,-0.596,level,Stage,m
750832,1.51,level,Stage,m
1491TH,1.484,level,Downstream Stage,mASD
712370,0.44,level,Stage,m
2641,0.069,level,Stage,mASD
2888TH,0.94,level,Stage,mASD
3822TH,0.813,level,Stage,mASD
2229_w1TH,,level,Downstream Stage,mASD
2010,,level,Stage,mASD
2270,0.129,level,Stage,mASD
46155,1.009,level,Stage,mAOD
694039,0.646,level,Stage,m
4335TH,0.251,level,Stage,mASD
43118,0.664,level,Stage,m
4026,0.084,level,Downstream Stage,mASD
764050,0.9,level,Stage,m
L3937,0.669,level,Stage,m
46118,0.633,level,Stage,m
E4225,1.081,level,Stage,mASD
E4485,0.611,level,Stage,mASD
49118,0.252,level,Stage,m
E14670,0.233,level,Stage,mASD
E21191,0.204,level,Stage,m
743509,0.449,level,Stage,m
50121,0.696,level,Stage,m
53121,1.404,level,Stage,m
680403,0.522,level,Stage,m
2451TH,0.49,level,Stage,mASD
E2655,0.37,level,Stage,mASD
2481TH,0.564,level,Stage,mASD
2085,2.569,level,Stage,mASD
4690TH,0.318,level,Stage,mASD
2603TH,1.537,level,Stage,mASD
E23527,0.547,level,Stage,mASD
45124,0.683,level,Stage,m
2048,0.344,level,Stage,mASD
E22088,1.708,level,Stage,mASD
48124,0.606,level,Stage,m
763117,0.48,level,Stage,m
E71139,0.624,level,Tidal Level,mAOD
E71124,4.524,level,Tidal Level,m
L2312,1.118,level,Stage,mASD
1904TH,0.914,level,Stage,mASD
692422,0.543,level,Stage,m
50196,0.295,level,Stage,m
2815TH,-0.027,level,Downstream Stage,mASD
1934TH,,level,Stage,V
E21836,0.148,level,Stage,mASD
4202,,level,Logged,mASD
F2004,,level,Stage,---
E1759,0.139,level,Stage,m
021999,,level,Tidal Level,m
53196,0.99,level,Stage,m
1080TH,1.074,level,Stage,mASD
F2760,0.138,level,Stage,m
5169TH,0.342,level,Stage,mASD
45212,0.505,level,Stage,m
4091,0.79,level,Stage,mASD
055816_TG_319,3.499,level,Stage,mASD
E22176,0.505,level,Stage,mASD
51106,0.573,level,Stage,m
024010,,level,Stage,---
2590TH,0.171,level,Stage,mASD
L0705,1.557,level,Stage,m
3073TH,1.06,level,Downstream Stage,mASD
E23740,0.743,level,Stage,mASD
0901TH,,level,Downstream Stage,---
E12520,0.244,level,Stage,mASD
47130,0.542,level,Stage,m
E7290,1.114,level,Tidal Level,mAOD
E24451,0.687,level,Stage,mASD
2001,2.805,level,Stage,mASD
E1253,0.627,level,Stage,mASD
E22041,0.238,level,Stage,m
3225TH,0.881,level,Stage,mASD
L0928,0.816,level,Stage,m
43109,0.395,level,Stage,m
761514,1.778,level,Stage,m
E22004,-0.627,level,Stage,mAOD
710160,1.168,level,Stage,m
49109,,level,Stage,m
L1008,,level,Stage,---
4142,1.513,level,Stage,mASD
E427,-0.008,level,Stage,mASD
F3606,,level,Stage,---
L2809,2.85,level,Stage,m
3069TH,2.447,level,Stage,mASD
E4341,0.57,level,Stage,mASD
4180_w1TH,0.298,level,Stage,mASD
2252TH,,level,Stage,mASD
2039,0.655,level,Stage,mASD
E21270,1.095,level,Stage,mASD
E21604,0.081,level,Stage,m
48115,0.343,level,Downstream Stage,m
2881TH,0.642,level,Stage,mASD
E2734,0.332,level,Stage,mASD
E21493,6.72,level,Stage,mASD
L1221,0.365,level,Stage,m
L1815,0.646,level,Stage,m
E1652,0.23,level,Stage,m
E22798,0.4,level,Stage,m
L0237,,level,Stage,---
2660,0.01,level,Stage,mASD
760112,0.808,level,Stage,m
E24317,0.059,level,Stage,mASD
023054,0.515,level,Stage,m
4082,1.145,level,Stage,mASD
2301TH,0.22,level,Stage,mASD
5357TH,0.244,level,Stage,mASD
44219,0.245,level,Stage,m
024001,0.897,level,Stage,m
44121,0.239,level,Stage,m
E603,0.561,level,Stage,mASD
49174,0.569,level,Stage,m
720535,7.007,level,Stage,m
023017,,level,Stage,---
47121,1.078,level,Stage,m
F3509,0.376,level,Stage,m
4008,0.756,level,Stage,mASD
50140,1.351,level,Stage,m
693435,0.48,level,Stage,m
F2306,1.364,level,Stage,m
710151,0.712,level,Stage,m
53140,0.913,level,Stage,m
2711,,level,Stage,mASD
F0513,1.895,level,Stage,m
751613,1.012,level,Stage,m
E23917,0.032,level,Tidal Level,mAOD
L2837,-0.036,level,Stage,m
E2080,3.35,level,Tidal Level,mASD
52156,9.121,level,1,m
43225,,level,Stage,mAOD
3625TH,0.622,level,Stage,mASD
E5680,38.684,level,Stage,mAOD
4087TH,0.23,level,Stage,mASD
E9183,12.816,level,Stage,mAOD
E2738,,level,Stage,mAOD
2425,0.706,level,Stage,mASD
2636,0.215,level,Stage,mASD
692810,0.198,level,Stage,m
2546TH,0.925,level,Stage,mASD
44141,0.649,level,Stage,m
694670,,level,Stage,m
E14564,7.213,level,Stage,mAOD
2700,,level,Stage,mAOD
E26921,27.502,level,Stage,mAOD
4079,0.647,level,Stage,mASD
E10170,0.711,level,Stage,mASD
45125,0.939,level,Stage,m
720105,0.765,level,Stage,m
E1880,2.61,level,Stage,mASD
DIFF_TB3_TB1,0.265,level,Tidal Level,m
2482TH,,level,Stage,mAOD
47126,0.159,level,Stage,m
4117,1.145,level,Stage,mASD
710103,1.407,level,Stage,m
1900TH,,level,Downstream Stage,mASD
44223,-0.024,level,Stage,m
2915,2.381,level,Stage,mASD
E23974,,level,Stage,mAOD
E14980,0.433,level,Tidal Level,mAOD
48120,1.38,level,Stage,m
2733TH,0.032,level,Height,m
4391TH,0.099,level,Stage,mASD
44147,0.019,level,Stage,m
3091TH,13.401,level,Downstream Stage,mASD
50130,0.413,level,Stage,m
2900,0.875,level,Stage,mASD
52245,2.843,level,Stage,m
713453,1.103,level,Logged,m
50131,0.468,level,Stage,m
DIFF_TB3_TB9,0.415,level,Tidal Level,m
2731TH,,level,Height,mASD
E2143,24.805,level,Stage,mAOD
4191,1.766,level,Stage,mASD
44148,0.347,level,Stage,m
E21117,13.373,level,Stage,mAOD
2706,0.326,level,Stage,mASD
2732TH,20.152,level,Downstream Stage,mAOD
DIFF_WestUR_EastDR,0.044,level,Tidal Level,m
DCB_UR,,level,Tidal Level,mAOD
5562TH,,level,3,mm
48123,0.608,level,Stage,m
E9030,26.17,level,Groundwater,mAOD
2448TH,1.013,level,Stage,m
SJ37_032,0.35,level,Groundwater,m
055044,,level,Stage,mASD
761595,2.528,level,Stage,m
E14811,0.22,level,Stage,mASD
055041,1.186,level,Stage,mASD
692830,0.052,level,Downstream Stage,m
45223,,level,Stage,m
SU73_93,101.201,level,Groundwater,mAOD
49128,0.025,level,Stage,m
E1048,56.006,level,Stage,mAOD
E11321,0.095,level,Stage,mASD
2215,0.314,level,Stage,mASD
5312TH,-0.027,level,Stage,m
4199,4.526,level,Stage,mASD
713118,0.714,level,Stage,m
4109,0.818,level,Downstream Stage,mASD
BB_EAST_UR,-1.003,level,Tidal Level,mAOD
E570,14.956,level,Stage,mAOD
0655TH,0.136,level,Stage,mASD
E170,-0.372,level,Tidal Level,mAOD
E12460,,level,Stage,mASD
3084TH,28.85,level,Stage,mAOD
E13860,,level,Stage,mASD
2213,0.896,level,Stage,mASD
690137,0.096,level,Downstream Stage,m
E13961,,level,Stage,V
SE77BRT0CO,19.12,level,Groundwater,mAOD
50129,3.866,level,Stage,m
692717,3.836,level,Logged,m
431100,80.81,level,Groundwater,m
3004TH,17.787,level,Downstream Stage,mAOD
E6621,1.82,level,Stage,mASD
2099,2.846,level,Downstream Stage,mASD
693555,0.134,level,Downstream Stage,m
2218,0.193,level,Stage,mASD
4044,0.199,level,Stage,mASD
48168,0.551,level,Stage,m
SP10_96,111.266,level,Groundwater,mAOD
E13480,0.565,level,Stage,mASD
1908,,level,Groundwater,mBDAT
4238,0.151,level,Stage,mASD
3213TH,,level,Stage,mAOD
2216,0.057,level,Stage,mASD
E60502,3.911,level,Downstream Stage,mAOD
4095,0.764,level,Stage,mASD
E4453,32.185,level,Stage,mAOD
4063TH,14.405,level,Stage,mAOD
44133,1.205,level,Downstream Stage,mAOD
E22300,14.036,level,Groundwater,mAOD
E6630,9.012,level,Stage,mAOD
E13510,18.1,level,Stage,mAOD
692675,0.047,level,Stage,m
E14821,0.286,level,Stage,mASD
E15460,,level,Stage,mASD
48111,0.023,level,Stage,m
764115,,level,Stage,m
2736TH,16.532,level,Downstream Stage,mAOD
E13540,23.229,level,Stage,mAOD
3088TH,23.13,level,Stage,mAOD
531167,49.558,level,Stage,mAOD
690340,0.65,level,Stage,m
692510,0.708,level,Stage,m
E70139,1.292,level,Tidal Level,mAOD
52234,5.882,level,Downstream Stage,mAOD
2649,0.895,level,Stage,mASD
E5755,1.344,level,Tidal Level,mAOD
E8364,,level,Stage,mAOD
2747TH,18.589,level,Stage,mAOD
692825,0.317,level,Downstream Stage,m
8208TH,,level,Stage,m
4050,0.408,level,Stage,mASD
E14520,0.327,level,Stage,mAOD
E4320,43.649,level,Downstream Stage,mAOD
44135,1.1,level,Stage,mAOD
DCB_DR,,level,Tidal Level,mAOD
0004,-0.062,level,Tidal Level,mAOD
E15124,,level,Stage,mASD
4127,,level,Downstream Stage,mASD
2879_w1TH,-0.093,level,Downstream Stage,mASD
44134,2.492,level,Tidal Level,mAOD
1490TH,5.108,level,Stage,mASD
E13823,,level,,mAOD
5550TH,-0.384,level,Downstream Stage,mASD
E23983,3.896,level,Stage,m
53195,,level,Stage,mAOD
693120,1.093,level,Stage,m
692800,0.309,level,Downstream Stage,m
3269TH,1.528,level,Stage,mASD
E14992,-0.071,level,Stage,mAOD
E1472,1.331,level,Stage,mAOD
48112,0.283,level,Tidal Level,m
4123,0.899,level,Stage,mASD
38_BRENT_RES,,level,Stage,mASD
067624,,level,Stage,m
693021,,level,Stage,---
E13820,,level,Stage,mAOD
48114,0.795,level,Stage,m
44137,,level,Tidal Level,mAOD
E1142,3.219,level,Stage,mAOD
2759TH,17.433,level,Stage,mAOD
E2061,28.432,level,Stage,mAOD
44136,0.846,level,Stage,m
E15667,21.987,level,Downstream Stage,mAOD
E1141,1.704,level,Stage,mASD
2436TH,46.3,level,Downstream Stage,mAOD
4878,0.615,level,Stage,mASD
E4360,,level,Stage,mAOD
E2280,11.341,level,Stage,mAOD
E1466,2.665,level,Tidal Level,mAOD
E2740,,level,Stage,mAOD
49114,0.46,level,Stage,m
E660,24.623,level,Stage,mAOD
E13291,1.413,level,Stage,mASD
3078TH,,level,Stage,mASD
E6135,52.525,level,Stage,mAOD
E13870,,level,Stage,mASD
685120,0.148,level,Downstream Stage,m
4092,2.334,level,Reservoir Level,mBDAT
49119,0.482,level,Stage,m
45172,,level,Stage,m
733548,,level,Stage,m
50128,3.175,level,Stage,m
L1711,,level,Stage,---
2004,0.489,level,Stage,mASD
E1030,2.38,level,Tidal Level,mAOD
4022GW,3.428,level,Groundwater,mBDAT
E12801,0.39,level,Stage,mASD
44108,0.246,level,Stage,m
E8353,,level,Downstream Stage,mAOD
LN23999,-0.659,level,Tidal Level,mAOD
E15230,0.085,level,Stage,mASD
49179,0.09,level,Stage,m
692820,0.337,level,Stage,m
2757TH,16.981,level,Stage,mAOD
692100,-1.18,level,Stage,m
E9883,0.731,level,Stage,mASD
E8730,5.161,level,Stage,mAOD
4092TH,,level,Downstream Stage,mAOD
E573,,level,Stage,---
5563TH,-1.0,level,2,mASD
48142,0.672,level,Sump Level,m
E1120,44.361,level,Stage,mAOD
48141,0.369,level,Stage,m
3219TH,,level,Stage,---
SU89_101,22.089,level,Groundwater,mAOD
2605TH,21.001,level,Downstream Stage,mAOD
693006,,level,Stage,m
4755,,level,Stage,mASD
E6610,,level,Stage,mAOD
E8011,,level,Stage,mAOD
E21785,18.79,level,Stage,mAOD
2292,,level,Stage,mASD
1919TH,,level,Stage,---
BB_WEST_DR,-1.061,level,Tidal Level,mAOD
52232,9.082,level,Stage,m
E6111,0.861,level,Stage,mAOD
067006,,level,Stage,m
50148,2.842,level,1,m
E23668,86.863,level,Stage,mAOD
531171,5.125,level,Downstream Stage,mAOD
2421TH,,level,Height,mASD
4177,0.745,level,Stage,mASD
3086TH,,level,Downstream Stage,mAOD
E1960,2.375,level,Tidal Level,mAOD
4170,0.375,level,Stage,mASD
E24028,5.234,level,Stage,m
4741,1.154,level,Stage,mASD
48146,0.478,level,Tidal Level,m
E26233,-0.973,level,Tidal Level,mAOD
751511,1.91,level,Stage,m
4171,0.924,level,Stage,mASD
4387TH,,level,Height,m
52238,7.94,level,Downstream Stage,mAOD
3057TH,4.329,level,Stage,mASD
4173,0.507,level,Stage,mASD
E13301,0.471,level,Stage,mASD
4175,0.296,level,Stage,mASD
2879_w2TH,0.074,level,Downstream Stage,mASD
1460TH_w1,0.466,level,Downstream Stage,mASD
DIFF_EastUR_WestDR,0.061,level,Tidal Level,m
1923TH,0.791,level,Downstream Stage,mASD
44226,0.288,level,Stage,m
E12500,,level,Stage,---
531168,49.465,level,Downstream Stage,mAOD
E6106,52.516,level,Stage,mAOD
44225,0.727,level,Stage,m
52226,0.146,level,4,m
067015,,level,Stage,m
4033,0.404,level,Stage,mASD
E24322,-0.858,level,Stage,mAOD
067014,,level,Stage,m
694121,0.254,level,Downstream Stage,m
2129,0.136,level,Stage,mASD
2723TH,38.44,level,1,%
E14330,-0.082,level,Tidal Level,mAOD
2049,0.43,level,Stage,mASD
48109,0.358,level,Stage,m
724839,,level,Stage,m
2019,0.483,level,Stage,mASD
4840,,level,Stage,mASD
E1382,32.175,level,Stage,mAOD
E73439,0.846,level,Tidal Level,mAOD
693001,0.356,level,Stage,m
52248,8.188,level,Stage,m
E8005,18.809,level,Stage,mAOD
E73639,0.457,level,Tidal Level,mAOD
L2600,2.05,level,Stage,mAOD
E14690,,level,Stage,mASD
E23177,0.584,level,Stage,m
744010,2.312,level,Stage,m
3053TH,,level,Stage,mAOD
E9260,4.977,level,Stage,mAOD
E13951,0.417,level,Stage,mASD
692117,0.162,level,Stage,m
E14120,0.922,level,Stage,mAOD
E14540,4.438,level,Stage,mAOD
E14722,1.146,level,Stage,mASD
E2151,-0.196,level,Reservoir Level,m
766010,0.269,level,Stage,m
E1959,2.887,level,Stage,mAOD
067001,,level,Stage,m
52106,2.064,level,Tidal Level,mAOD
768005,0.154,level,Stage,m
692114,,level,Stage,m
E14550,,level,Stage,mASD
52236,6.723,level,Stage,m
4188,0.298,level,Stage,mASD
E9155,,level,Stage,mAOD
E7421,0.453,level,Stage,mAOD
2758TH,16.013,level,Downstream Stage,mAOD
4181,0.328,level,Stage,mASD
2872TH,16.92,level,Stage,m
DIFF_TB2_TB9,0.247,level,Tidal Level,m
44222,0.1,level,Stage,m
49178,0.337,level,Stage,m
4189,1.028,level,Stage,mASD
711007,0.198,level,Stage,m
E8240,37.892,level,Stage,mAOD
3045TH,45.48,level,Stage,mAOD
692230,0.337,level,Stage,m
4160,,level,Stage,mASD
E2634,3.142,level,Stage,mAOD
693033,0.223,level,Stage,m
43194,65.739,level,Groundwater,m
E680,21.471,level,Stage,mAOD
E3471,-0.1,level,Stage,mAOD
52240,7.275,level,Stage,m
E13490,,level,Stage,mASD
BB_EAST_DR,,level,Tidal Level,---
E12513,35.934,level,Stage,mAOD
DIFF_TB2_TB1,0.705,level,Tidal Level,m
43197,,level,Groundwater,mAOD
E13500,11.177,level,Stage,mAOD
E8330,6.579,level,Stage,mAOD
5300_w2TH,,level,Stage,mAOD
BB_WEST_UR,-1.042,level,Tidal Level,mAOD
E7435,,level,Stage,mAOD
1415TH,1.764,level,Downstream Stage,mASD
3697TH,1.356,level,Downstream Stage,mASD
692706,,level,Logged,m
DIFF_WestUR_WestDR,0.016,level,Tidal Level,m
E3400,9.829,level,Stage,mAOD
E29202,0.768,level,Stage,mASD
E7430,1.229,level,Stage,mAOD
692421,,level,1,m
067033,,level,Stage,m
E13851,0.599,level,Stage,mASD
E2739,,level,Downstream Stage,mAOD
4084,0.504,level,Stage,mASD
755825,0.441,level,Stage,m
4384TH,0.039,level,Stage,mASD
53145,33.438,level,Stage,mAOD
E26231,-0.725,level,Stage,mAOD
E40684,0.393,level,Stage,mASD
E576,13.348,level,Stage,mAOD
43163,0.944,level,Stage,m
L0001,-3.162,level,Stage,mAOD
4088,1.839,level,Stage,mASD
2645TH,23.495,level,Stage,mAOD
753137,,level,Stage,m
E10018,1.994,level,Stage,mASD
E921,0.281,level,Stage,mASD
DIFF_EastUR_EastDR,0.001,level,Tidal Level,m
5304TH,0.051,level,Stage,m
5300_w1TH,,level,Stage,mAOD
E61804,11.466,level,Stage,mAOD
3610SO,,level,Stage,mASD
E2015,-0.146,level,Stage,mAOD
E6120,53.379,level,Stage,mAOD
3399TH,,level,Stage,mASD
E3470,1.841,level,Downstream Stage,mAOD
E1005,51.366,level,Stage,mAOD
692722,-0.032,level,Stage,m
E1910,9.747,level,Stage,mAOD
E13440,16.294,level,Downstream Stage,mAOD
E1007,,level,Stage,mAOD
E7441,1.364,level,Stage,mAOD
E8371,4.1,level,Stage,mAOD
E13442,16.376,level,Stage,mAOD
E22034,-25.0,level,Groundwater,mAOD
067020,,level,Downstream Stage,m
1414TH,,level,Stage,---
E10530,5.305,level,Stage,mAOD
52122,0.637,level,Stage,m
E23042,0.249,level,Stage,m
52243,4.638,level,Stage,m
2052,0.622,level,1,mASD
724647,1.009,level,Stage,m
2607,0.171,level,Stage,mASD
E22095,2.592,level,Stage,m
E21381,1.325,level,Stage,mAOD
45129,0.114,level,Stage,m
692388,0.118,level,Downstream Stage,m
53156,43.229,level,Stage,mAOD
E700,12.786,level,Stage,mAOD
1489TH,,level,Stage,m
E15370,27.258,level,Stage,mAOD
4895,0.697,level,Stage,mASD
E21026,1.591,level,Stage,m
E8654,5.68,level,Stage,mASD
2423TH,1.06,level,Stage,mASD
E23774,10.093,level,Stage,m
5290TH,0.098,level,Stage,mASD
E12493,,level,Stage,mASD
E9120,11.421,level,Stage,mAOD
5545TH,,level,Downstream Stage,mASD
52209,,level,Stage,mAOD
2207,0.611,level,Stage,mASD
E1920,11.07,level,Stage,mAOD
3029TH,1.18,level,Stage,mASD
4149,0.833,level,Stage,mASD
52241,3.641,level,Stage,m
E8270,,level,Stage,mAOD
E14331,0.496,level,Stage,mAOD
48193,0.112,level,Downstream Stage,m
52242,2.812,level,Stage,m
E1675,0.331,level,Stage,mASD
4883,2.164,level,Stage,mASD
52235,7.695,level,Stage,m
52237,7.961,level,Stage,mAOD
52233,,level,Stage,mAOD
E1029,2.428,level,Stage,m
E23135,,level,Groundwater,m
52239,3.418,level,Stage,m
0657TH,0.102,level,Stage,mASD
L3360,,level,Tidal Level,---
2209,0.589,level,Stage,mASD
713354,2.411,level,Stage,m
3345TH,0.036,level,Stage,mASD
E1052,,level,Stage,m
E41848,-3.503,level,Stage,mAOD
E1152,,level,Tidal Level,mAOD
531161,5.546,level,1,mAOD
E1413,57.229,level,Stage,mAOD
E1460,1.459,level,Tidal Level,mAOD
531173,17.625,level,Stage,mAOD
E1367,57.217,level,Stage,mAOD
44139,,level,Stage,m
E11090,0.356,level,Stage,mASD
53189,3.269,level,Tidal Level,mAOD
44149,0.585,level,Stage,m
531163,53.637,level,Stage,mAOD
2866TH,20.595,level,Stage,mASD
531166,51.087,level,Downstream Stage,mAOD
53152,14.225,level,Downstream Stage,mAOD
53151,15.507,level,Stage,mAOD
531162,7.208,level,Downstream Stage,mAOD
E1427,1.458,level,Stage,mAOD
531180,,level,1,m
531183,1.406,level,Stage,m
531165,51.516,level,Stage,mAOD
531110,79.42,level,Downstream Stage,mAOD
43218,0.875,level,1,m
E10961,19.538,level,Downstream Stage,mAOD
E1534,0.303,level,Stage,m
E551,5.417,level,Stage,mAOD
53118,2.835,level,Tidal Level,mAOD
53183,0.315,level,Stage,m
E40411,1.016,level,Stage,mASD
E10960,19.561,level,Stage,mAOD
531174,16.658,level,Downstream Stage,mAOD
E24870,,level,Stage,mAOD
E16181,43.8,level,Groundwater,mAOD
L0401,,level,Stage,---
L1970,0.66,level,Stage,m
L1602,1.384,level,Stage,m
L0511,0.504,level,Stage,m
L0316,,level,Stage,---
E1833,,level,Stage,mAOD
L2801,,level,Stage,---
F3904,2.7,level,Stage,mAOD
E6381,,level,Stage,mASD
L0508,0.419,level,Stage,m
E22596,25.221,level,Stage,mAOD
6303,0.418,level,Stage,mASD
F3507,0.419,level,Stage,m
L0317,,level,Stage,---
4206,0.032,level,Stage,mASD
L2808,14.574,level,Stage,mAOD
E6380,,level,Stage,mASD
2627,0.826,level,Stage,mASD
L0716,0.709,level,Downstream Stage,m
E16201,77.129,level,Groundwater,mAOD
TQ26_143BU,17.216,level,Groundwater,mAOD
TQ26_143A,20.286,level,Groundwater,mAOD
E87030,2.608,level,Tidal Level,m
E2044,2.046,level,Tidal Level,mAOD
2854TH,0.857,level,Downstream Stage,mASD
E14710,3.026,level,Stage,mAOD
E19006,,level,Groundwater,mAOD
023020,31.882,level,Stage,mAOD
023002,0.346,level,Stage,m
E2721,44.595,level,Stage,mAOD
023055,-1.408,level,Reservoir Level,m
5291TH,-47.0,level,Stage,mm
2869TH,20.851,level,Stage,mAOD
E21891,19.534,level,Stage,m
2202SO,,level,Groundwater,mAOD
0328TH,34.74,level,Stage,mAOD
E2587,13.035,level,Stage,mAOD
E24075,22.773,level,Stage,m
E23350,27.32,level,Groundwater,m
E8750,,level,Groundwater,mAOD
E22025,0.724,level,Stage,m
4388TH,15.12,level,Stage,mAOD
L1741,,level,Stage,---
E1941,39.954,level,Stage,mAOD
F1702,,level,Stage,---
L1816,0.481,level,Stage,m
L1431,,level,Stage,---
E3223,,level,Groundwater,mAOD
51101,,level,Stage,m
023060,-5.578,level,Stage,m
4175TH,-1.121,level,Downstream Stage,mASD
E4478,79.3,level,Stage,mAOD
E11190,72.84,level,Groundwater,mAOD
E1949,48.216,level,Stage,mAOD
E27541,69.83,level,Stage,m
4151TH,-0.017,level,Stage,mASD
E24817,0.036,level,Stage,m
E1204,85.113,level,Stage,mAOD
E2779,0.465,level,Stage,m
E26181,33.25,level,Stage,mAOD
4173TH,-1.318,level,Downstream Stage,mASD
E2065,73.545,level,Stage,mAOD
1817SO,29.299,level,Downstream Stage,mAOD
4188TH,0.205,level,Stage,mASD
E1825,77.86,level,Stage,mAOD
E26151,84.784,level,Stage,mAOD
E1311,82.047,level,Downstream Stage,mAOD
E4481,88.091,level,Stage,mAOD
4177TH,,level,Downstream Stage,mASD
E4480,86.516,level,Stage,mAOD
E4819,80.613,level,Stage,mAOD
4171TH,,level,Stage,mASD
E1366,80.948,level,Stage,mAOD
E1633,0.284,level,Stage,mASD
E4800,125.114,level,Stage,mAOD
