stationReference,latestReading,parameter,qualifier,unitName
45126,0.691,level,Stage,m
49110,0.729,level,Stage,m
2844TH,0.788,level,Stage,mASD
E1538,2.384,level,Tidal Level,mAOD
48126,0.82,level,Stage,m
E23060,0.536,level,Tidal Level,mAOD
L2314,0.368,level,Stage,m
F3705,,level,Stage,---
750106,1.992,level,Stage,m
055817_TG_323,,level,Downstream Stage,mASD
L2810,8.455,level,Stage,mAOD
E21838,1.834,level,Stage,mASD
4204,0.159,level,Downstream Stage,mASD
2175,5.99,level,Stage,mASD
2671,0.459,level,Stage,mASD
4381TH,0.514,level,Stage,mASD
F2502,3.681,level,Stage,m
E4403,0.917,level,Stage,mASD
E10368,0.302,level,Stage,mASD
E651,2.08,level,Stage,mASD
45214,0.528,level,Stage,m
4093,1.088,level,Stage,mASD
4427,0.667,level,Stage,mASD
2040,0.331,level,Stage,mASD
5016TH,0.365,level,Stage,mASD
2634,0.748,level,Stage,mASD
024012,0.215,level,Stage,m
L2402,,level,Downstream Stage,---
L0707,,level,Stage,m
023028,0.646,level,Stage,m
4165TH,1.151,level,Stage,mASD
47132,0.391,level,Stage,m
4056,0.324,level,Stage,mASD
3804TH,0.329,level,Stage,mASD
46148,0.783,level,Stage,m
4317TH,0.517,level,Stage,mASD
E23705,0.174,level,Stage,m
4019,1.586,level,Stage,mASD
50151,1.177,level,Stage,m
2226,0.14,level,Downstream Stage,mASD
E22006,0.456,level,Stage,mASD
3102TH,,level,Stage,---
44220,0.506,level,Stage,m
0470TH,0.556,level,Stage,mASD
50114,0.66,level,Stage,m
E21778,0.265,level,Stage,m
E24899,0.754,level,Stage,mASD
43236,0.416,level,Stage,m
L1506,3.872,level,Stage,m
710125,0.486,level,Stage,m
48191,0.181,level,Downstream Stage,m
1980TH,5.485,level,Stage,mASD
E23186,0.344,level,Stage,m
F2405,3.563,level,Stage,m
735430,1.541,level,Stage,m
733020,0.539,level,Stage,m
45117,0.836,level,Stage,m
L1358,0.134,level,Stage,m
48117,4.709,level,Stage,m
50189,0.843,level,Stage,m
E6980,2.22,level,Stage,mAOD
52120,3.562,level,Stage,mASD
5420TH,0.499,level,Stage,mASD
021040,0.102,level,Stage,m
735022,1.559,level,Stage,m
2662,0.203,level,Stage,mASD
E2105,0.539,level,Stage,mASD
E4060,0.725,level,Stage,mASD
E642,0.961,level,Stage,mASD
2429TH,,level,Stage,mASD
E24319,0.592,level,Stage,mASD
5480TH,0.663,level,Stage,mASD
0701TH,,level,Stage,---
E24815,0.335,level,Stage,mASD
2625,1.838,level,Stage,mASD
024003,,level,Stage,---
710301,2.304,level,Stage,m
47123,1.343,level,Stage,m
3085TH,2.429,level,Stage,mASD
0913TH,1.029,level,Stage,mASD
E1742,0.16,level,Stage,mASD
E23956,0.728,level,Stage,mASD
F1003,0.831,level,Stage,m
3207TH,,level,Stage,---
692726,1.067,level,Stage,m
E71939,0.612,level,Tidal Level,mAOD
E71924,2.012,level,Tidal Level,m
50142,,level,Stage,m
4172,0.353,level,Stage,mASD
53142,,level,Stage,m
F2470,1.124,level,Stage,m
1486TH,1.165,level,Stage,mASD
52158,3.671,level,Stage,m
3350TH,0.089,level,Stage,mASD
055031_TG_329,0.115,level,Stage,mASD
2936TH,0.932,level,Stage,mASD
E1594,0.544,level,Stage,mASD
L2208,1.398,level,Stage,m
2966TH,1.025,level,Stage,mASD
F3501,,level,Stage,---
2204TH,0.494,level,Stage,mASD
L1386,0.012,level,Stage,m
48145,1.364,level,Downstream Stage,m
4045TH,0.946,level,Stage,mASD
2264TH,0.09,level,Stage,mASD
4890TH,0.237,level,Stage,mASD
48108,1.208,level,Stage,m
E670,1.445,level,Stage,mASD
E21226,0.466,level,Tidal Level,mAOD
52111,1.116,level,Stage,m
45233,0.048,level,Stage,m
L3503,0.362,level,Stage,m
2893TH,0.797,level,Stage,mASD
PCHURCH_TG_342,0.526,level,Stage,mASD
L1808,1.089,level,Stage,m
4310TH,0.143,level,Height,m
L17012,0.185,level,Stage,m
F3316,1.096,level,Stage,mAOD
3012TH,0.194,level,Stage,mASD
2653,0.219,level,Stage,mASD
L2519,0.637,level,Stage,m
E21449,1.716,level,Stage,mASD
4370TH,0.144,level,Stage,mASD
E24806,,level,Stage,mASD
E1608,0.274,level,Stage,mASD
1800TH,3.378,level,Stage,mASD
2616,4.697,level,Stage,mASD
E5852,1.811,level,Stage,mASD
713056,1.624,level,Stage,m
5369TH,0.139,level,Stage,mASD
690205,0.433,level,Stage,m
E2815,0.38,level,Stage,m
L2013,5.9,level,Stage,mAOD
E8221,,level,Stage,---
713019,2.952,level,Stage,m
2859TH,0.059,level,Downstream Stage,mASD
724735,2.14,level,Stage,m
E24064,0.566,level,Tidal Level,m
2889TH,0.232,level,Stage,mASD
50133,0.737,level,Stage,m
3823TH,0.288,level,Stage,mASD
4163,0.103,level,Stage,mASD
2229_w2TH,,level,Stage,mASD
53133,0.907,level,Stage,mASD
E22744,0.459,level,Stage,m
44202,0.409,level,Tidal Level,mAOD
694041,,level,Stage,---
4126,1.79,level,Stage,mASD
2097,3.419,level,Stage,mASD
43120,1.185,level,Stage,m
48173,0.394,level,Stage,m
022016,,level,Stage,---
46120,1.475,level,Stage,mASD
E2296,0.54,level,Stage,mASD
L2361,,level,Stage,---
45136,0.809,level,Stage,m
49120,0.693,level,Stage,m
L0902,,level,Stage,---
0007,-1.444,level,Tidal Level,mAOD
E14993,-0.32,level,Tidal Level,mAOD
4710,0.719,level,Stage,mASD
2604TH,2.87,level,Stage,mASD
E4413,0.364,level,Stage,mASD
45224,1.2,level,Stage,m
L1205,0.283,level,Stage,m
E21713,0.542,level,Stage,m
2050,1.151,level,Stage,mASD
712113,0.854,level,Stage,m
685505,,level,Stage,---
710320,0.387,level,Stage,m
2694TH,1.183,level,Stage,mASD
755790,0.185,level,Stage,m
E71239,1.344,level,Tidal Level,mAOD
E71224,4.094,level,Tidal Level,m
F3803,0.363,level,Stage,m
E23752,2.932,level,Stage,mAOD
023038,,level,Stage,---
3230TH,1.145,level,Stage,mASD
47142,0.562,level,Stage,m
43158,0.181,level,Stage,m
4066,0.231,level,Stage,mASD
2816TH,0.098,level,Stage,mASD
F2104,0.64,level,Stage,m
44105,0.531,level,Tidal Level,mAOD
3290TH,1.755,level,Stage,mASD
1995TH,0.046,level,Stage,mASD
E1228,0.117,level,Stage,m
4770TH,0.1,level,Stage,mASD
3074TH,0.095,level,Stage,mASD
0902TH,,level,Stage,---
50124,5.034,level,Stage,m
E21788,1.517,level,Stage,mASD
L3211,1.297,level,Downstream Stage,mASD
L3805,0.155,level,Stage,m
53124,2.021,level,Stage,m
E6642,0.229,level,Stage,mASD
E2300,0.258,level,Stage,m
43209,2.393,level,Stage,m
2088,0.598,level,Downstream Stage,mASD
055014_TG_306,0.779,level,Stage,mASD
L0930,,level,Downstream Stage,---
43111,,level,1,m
3286TH,2.154,level,Stage,mASD
022007,1.008,level,Stage,m
4873,0.998,level,Downstream Stage,mASD
46111,0.47,level,Stage,m
744250,0.674,level,Stage,m
0260TH,0.516,level,Downstream Stage,mASD
45127,1.315,level,Tidal Level,mAOD
49111,0.195,level,Stage,m
L1108,,level,Stage,---
48127,0.6,level,Stage,m
F2540,0.539,level,Stage,m
1289TH,0.749,level,Downstream Stage,mASD
720101,0.198,level,Stage,m
52130,0.288,level,Stage,m
4180_w2TH,0.032,level,Stage,mASD
4205,0.117,level,Stage,mASD
5362TH,0.143,level,Stage,mASD
45215,0.203,level,Stage,mASD
2139,0.488,level,Stage,mASD
4094,0.906,level,Stage,mASD
2041,,level,Stage,mASD
E13271,0.458,level,Stage,mASD
2852TH,0.369,level,Stage,mASD
2635,-0.011,level,Stage,mASD
024013,0.199,level,Stage,m
724629,2.301,level,Stage,m
L2403,,level,Stage,---
2882TH,0.569,level,Stage,mASD
722242,1.758,level,Stage,m
47133,0.752,level,Stage,m
E62201,0.968,level,Stage,mAOD
2150TH,0.159,level,Stage,mASD
2219TH,0.229,level,Stage,mASD
2180TH,1.453,level,Stage,mASD
50152,0.23,level,Stage,m
2227,0.132,level,Stage,mASD
2302TH,,level,Downstream Stage,---
F2220,0.422,level,Stage,m
44221,0.143,level,Stage,m
3660TH,0.185,level,Stage,mASD
50115,1.063,level,Stage,m
4145,0.395,level,Stage,mASD
E15611,,level,Stage,mAOD
712415,0.49,level,Stage,m
E21050,0.158,level,Stage,m
E15240,0.373,level,Stage,mASD
761605,1.163,level,Stage,m
3110TH,0.089,level,Stage,mASD
F2902,0.782,level,Stage,m
45118,1.24,level,Stage,m
E4803,0.715,level,Stage,mASD
3626TH,0.023,level,Stage,mASD
E23052,0.348,level,Tidal Level,mAOD
4139TH,0.042,level,Stage,mASD
0630TH,0.23,level,Stage,mASD
52121,0.175,level,Stage,mASD
2167,,level,Stage,mASD
E10893,0.469,level,Stage,mASD
E21732,0.495,level,Stage,mASD
0660TH,0.328,level,Stage,mASD
L17022,0.37,level,Stage,m
4650TH,0.918,level,Stage,mASD
760115,1.255,level,Stage,m
3838TH,0.095,level,Downstream Stage,mASD
E12551,0.306,level,Stage,mASD
43177,0.478,level,Stage,m
4085,1.209,level,Stage,mASD
E2862,0.382,level,Stage,mASD
2032,3.351,level,Stage,mASD
2626,0.149,level,Stage,mASD
024004,0.503,level,Stage,m
4832TH,0.434,level,Stage,mASD
E1780,0.583,level,Stage,mASD
751690,,level,2,m
47124,0.64,level,Stage,m
L0601,0.635,level,Stage,m
4048,,level,Logged,mASD
E21324,0.431,level,Stage,mASD
50180,1.349,level,Tidal Level,m
2255,0.104,level,Stage,mASD
E22035,,level,Stage,m
692727,1.467,level,Stage,m
50143,2.1,level,Stage,m
L1535,,level,Stage,---
5129TH,-0.035,level,Downstream Stage,mASD
E3401,,level,Stage,mAOD
1984TH,0.418,level,Downstream Stage,mASD
53143,0.996,level,Stage,m
3401TH,,level,Downstream Stage,---
52159,3.191,level,Stage,mAOD
2497TH,,level,Stage,---
5189TH,0.178,level,Stage,mASD
48183,0.342,level,Stage,m
46130,0.686,level,Stage,m
2702TH,,level,Stage,---
49130,0.302,level,Stage,m
4001,0.297,level,Stage,mASD
751110,1.9,level,Stage,m
3245TH,0.707,level,Stage,mASD
690155,0.711,level,Stage,m
720120,0.752,level,Stage,m
531158,0.61,level,Stage,m
E1187,0.353,level,Stage,mASD
2195,5.806,level,Stage,mASD
713205,0.125,level,Stage,m
L0504,1.24,level,Stage,m
E21227,0.706,level,Stage,m
52112,1.098,level,Stage,m
