stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,dryvalue,dryvaluemax,dryvaluemin,wetvalue,wetvaluemax,wetvaluemin,qualifier,parameter
2204TH,Winterborne Monkton,51.450901,-1.859793,2.33,-0.16,1.105,0.0,-0.002750000000000002,-0.002,-0.004,0.189,0.189,0.189,['Stage'],['levelASD']
2205,Brimscombe,51.724364,-2.200326,1.331,0.621,1.0,0.644,0.762302083333333,0.794,0.751,0.767,0.767,0.767,['Stage'],['levelASD']
2206,Merrywalks LVL,51.746918,-2.217953,,,,,0.0,0.0,0.0,0.0,0.0,0.0,['Stage'],['levelASD']
2207,Hall Green Road,52.440197,-1.475212,1.952,0.0,2.15,0.066,0.21120833333333341,0.234,0.193,0.277,0.277,0.277,['Stage'],['levelASD']
2209,Longford,52.446651,-1.487391,1.727,0.001,3.04,0.109,0.4508333333333336,0.467,0.443,0.448,0.448,0.448,['Stage'],['levelASD']
2210TH,Marlborough,51.416287,-1.732479,1.003,0.011,0.63,0.041,0.08045833333333337,0.081,0.08,0.171,0.171,0.171,['Stage'],['levelASD']
2213,"Hope Street, Coventry",52.40689,-1.522294,2.544,0.223,3.08,0.264,0.32849999999999985,0.34,0.293,0.427,0.427,0.427,['Stage'],['levelASD']
2215,Sir Henry Parkes Road,52.39358,-1.551005,1.437,0.144,2.73,0.202,0.23731249999999948,0.241,0.235,0.257,0.257,0.257,['Stage'],['levelASD']
2216,Torrington Avenue,52.396604,-1.591684,1.491,0.0,3.2,0.0,0.008906250000000006,0.014,0.008,0.008,0.008,0.008,['Stage'],['levelASD']
2218,Charterhouse Bridge,52.401988,-1.495801,2.008,0.111,1.93,0.153,0.15293749999999987,0.159,0.14,0.202,0.202,0.202,['Stage'],['levelASD']
2219TH,Poulton Farm,51.427238,-1.724504,0.812,0.005,0.857,0.047,0.12145833333333352,0.122,0.121,0.243,0.243,0.243,['Stage'],['levelASD']
2223,College Road,51.896062,-2.069746,1.442,0.064,1.2,0.0,0.09901041666666681,0.1,0.098,0.162,0.162,0.162,['Stage'],['levelASD']
2225,Bodiam Avenue,51.832287,-2.270144,1.105,-0.064,0.162,0.0,0.007916666666666673,0.009,0.006,-0.006,-0.006,-0.006,['Stage'],['levelASD']
2226,Slad Road,51.747599,-2.214291,1.175,0.11,0.43,0.13,0.020791666666666646,0.022,0.018,0.119,0.119,0.119,['Stage'],['levelASD']
2227,Tenbury,52.309779,-2.59384,3.54,0.08,2.0,0.11,-0.03948958333333331,-0.038,-0.042,0.016,0.016,0.016,['Stage'],['levelASD']
2228,Sutton Bridge,52.298087,-2.55805,4.231,0.45,3.0,0.47,0.47648958333333313,0.479,0.474,0.513,0.513,0.513,['Stage'],['levelASD']
2230TH,Knighton Main,51.437409,-1.576981,0.847,0.044,0.504,0.077,0.12128125000000013,0.122,0.12,0.318,0.318,0.318,['Stage'],['levelASD']
2232TH,Knighton Side,51.436872,-1.577706,0.653,-0.053,0.504,0.0,0.030437499999999992,0.032,0.028,0.098,0.098,0.098,['Stage'],['levelASD']
2239TH,Hungerford Dun,51.414788,-1.539372,0.307,0.034,0.19,0.053,0.0739999999999999,0.074,0.074,0.077,0.077,0.077,['Stage'],['levelASD']
2241TH,Hungerford Shalbourne,51.412847,-1.526019,1.078,0.031,0.6000000000000001,0.043,0.052895833333333336,0.054,0.051,0.069,0.069,0.069,['Stage'],['levelASD']
2250TH,Newbury,51.401605,-1.323874,1.49,0.742,1.35,0.941,0.9970520833333333,1.054,-3.753,1.058,1.058,1.058,['Stage'],['levelASD']
2251TH,Lambourn,51.508084,-1.530219,1.43,0.653,1.2,0.7000000000000001,0.8222916666666668,0.836,0.816,0.791,0.791,0.791,['Stage'],['levelASD']
2254TH,Eastbury Flood Control Structure,51.497183,-1.511619,2.129,0.942,2.65,0.9,0.8071458333333333,0.822,0.794,0.997,0.997,0.997,['Stage'],['levelASD']
2255,Bosbury,52.08804,-2.446839,1.911,0.01,0.8,0.03,0.04880208333333333,0.054,0.043,0.049,0.049,0.049,['Stage'],['levelASD']
