stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
247281TP,51.67255,-0.366544,513050.0,198350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3782,52.736673,-1.993285,400550.0,315450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
008850,55.255608,-2.540374,365750.0,595850.0,,,,,0.4,rainfall,Tipping Bucket Raingauge,mm
251530TP,51.689762,-1.679516,422250.0,199050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E14930,50.623497,-1.307947,449050.0,80650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E10450,50.933357,-0.6473169999999999,495150.0,115750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
035302,54.517093,-0.7525609999999999,480850.0,514250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
591642,54.525099,-3.417569,308350.0,515350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E11120,50.78281,-0.694221,492150.0,98950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
49102,50.382424,-4.5606100000000005,218050.0,56750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24894,51.890899,1.212487,621150.0,226250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E1613,53.397417,-0.269659,515150.0,390350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
554472,53.169907,-2.103919,393150.0,363650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
268851TP,51.462587,-1.327004,446850.0,173950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
006403,55.237908,-1.918977,405250.0,593750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1773,52.222319,-2.17488,388150.0,258250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
013045,54.742208,-2.378185,375750.0,538650.0,,,,,0.6,rainfall,Tipping Bucket Raingauge,mm
1748,52.481743,-2.579368,360750.0,287250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
47113,50.418385,-3.960029,260850.0,59450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1387,52.424304,-3.172736,320350.0,281350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
45108,50.884946,-3.487642,295450.0,110550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
077952,53.772138,-1.90361,406450.0,430650.0,,,,,0.2,rainfall,Tipping Bucket Raingauge,mm
E11060,50.853543,-0.666675,493950.0,106850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3998,53.396184,-0.931457,471150.0,389350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24763,51.949875,-0.766824,484850.0,228650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
026297,54.701508,-1.198486,451750.0,534350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
583948,54.064769,-2.863989,343550.0,463550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
