stationReference,latestReading,parameter,qualifier,unitName
031555,0.0,rainfall,Tipping Bucket Raingauge,mm
E1320,0.0,rainfall,Tipping Bucket Raingauge,mm
46100,0.0,rainfall,Tipping Bucket Raingauge,mm
3686,0.0,rainfall,Tipping Bucket Raingauge,mm
553564,,rainfall,Tipping Bucket Raingauge,---
45164,0.0,rainfall,Tipping Bucket Raingauge,mm
53159,0.0,rainfall,Tipping Bucket Raingauge,mm
057426,0.2,rainfall,Tipping Bucket Raingauge,mm
E2493,0.0,rainfall,Tipping Bucket Raingauge,mm
239374TP,0.0,rainfall,Tipping Bucket Raingauge,mm
3099,0.0,rainfall,Tipping Bucket Raingauge,mm
077836,0.0,rainfall,Tipping Bucket Raingauge,mm
078530,0.0,rainfall,Tipping Bucket Raingauge,mm
600683,0.0,rainfall,Tipping Bucket Raingauge,mm
E11480,0.0,rainfall,Tipping Bucket Raingauge,mm
074924,0.2,rainfall,Tipping Bucket Raingauge,mm
E11470,0.0,rainfall,Tipping Bucket Raingauge,mm
000008,0.0,rainfall,Tipping Bucket Raingauge,mm
E21018,0.0,rainfall,Tipping Bucket Raingauge,mm
48180,0.0,rainfall,Tipping Bucket Raingauge,mm
570099,0.0,rainfall,Tipping Bucket Raingauge,mm
E5640,0.0,rainfall,Tipping Bucket Raingauge,mm
E24863,0.0,rainfall,Tipping Bucket Raingauge,mm
254829TP,0.0,rainfall,Tipping Bucket Raingauge,mm
3580,0.0,rainfall,Tipping Bucket Raingauge,mm
E27594,0.0,rainfall,Tipping Bucket Raingauge,mm
50112,0.0,rainfall,Tipping Bucket Raingauge,mm
564595,0.0,rainfall,Tipping Bucket Raingauge,mm
049902,0.0,rainfall,Tipping Bucket Raingauge,mm
E1290,0.0,rainfall,Tipping Bucket Raingauge,mm
3570,0.0,rainfall,Tipping Bucket Raingauge,mm
1792,0.0,rainfall,Tipping Bucket Raingauge,mm
008632,,rainfall,Tipping Bucket Raingauge,mm
E14893,0.0,rainfall,Tipping Bucket Raingauge,mm
E4510,0.0,rainfall,Tipping Bucket Raingauge,mm
E4520,0.0,rainfall,Tipping Bucket Raingauge,mm
005782,0.0,rainfall,Tipping Bucket Raingauge,mm
E41311,0.0,rainfall,Tipping Bucket Raingauge,mm
E2331,0.0,rainfall,Tipping Bucket Raingauge,mm
920359,0.0,rainfall,Tipping Bucket Raingauge,mm
1119,0.0,rainfall,Tipping Bucket Raingauge,mm
030377,0.0,rainfall,Tipping Bucket Raingauge,mm
E27601,0.0,rainfall,Tipping Bucket Raingauge,mm
3179,0.0,rainfall,Tipping Bucket Raingauge,mm
49151,0.0,rainfall,Tipping Bucket Raingauge,mm
238777TP,0.0,rainfall,Tipping Bucket Raingauge,mm
083534,0.0,rainfall,Tipping Bucket Raingauge,mm
3996,0.0,rainfall,Tipping Bucket Raingauge,mm
47157,0.0,rainfall,Tipping Bucket Raingauge,mm
559586,0.0,rainfall,Tipping Bucket Raingauge,mm
E25041,0.0,rainfall,Tipping Bucket Raingauge,mm
037973,0.0,rainfall,Tipping Bucket Raingauge,mm
E9360,0.0,rainfall,Tipping Bucket Raingauge,mm
E9350,0.0,rainfall,Tipping Bucket Raingauge,mm
248965TP,0.0,rainfall,Tipping Bucket Raingauge,mm
3860,0.0,rainfall,Tipping Bucket Raingauge,mm
000032,,rainfall,Tipping Bucket Raingauge,mm
587552,,rainfall,Tipping Bucket Raingauge,---
E7135,0.0,rainfall,Tipping Bucket Raingauge,mm
E2420,0.0,rainfall,Tipping Bucket Raingauge,mm
E11820,0.0,rainfall,Tipping Bucket Raingauge,mm
062046,0.0,rainfall,Tipping Bucket Raingauge,mm
44215,0.0,rainfall,Tipping Bucket Raingauge,mm
E24925,0.0,rainfall,Tipping Bucket Raingauge,mm
3057,0.0,rainfall,Tipping Bucket Raingauge,mm
E23633,0.0,rainfall,Tipping Bucket Raingauge,mm
1413,0.0,rainfall,Tipping Bucket Raingauge,mm
559100R,,rainfall,Tipping Bucket Raingauge,---
531172,0.0,rainfall,Tipping Bucket Raingauge,mm
E2416,0.0,rainfall,Tipping Bucket Raingauge,mm
E24957,0.0,rainfall,Tipping Bucket Raingauge,mm
E24947,0.0,rainfall,Tipping Bucket Raingauge,mm
E24790,0.0,rainfall,Tipping Bucket Raingauge,mm
E7165,0.0,rainfall,Tipping Bucket Raingauge,mm
53115,0.0,rainfall,Tipping Bucket Raingauge,mm
E9290,0.0,rainfall,Tipping Bucket Raingauge,mm
48182,0.0,rainfall,Tipping Bucket Raingauge,mm
570231,0.0,rainfall,Tipping Bucket Raingauge,mm
1082,0.0,rainfall,Tipping Bucket Raingauge,mm
1121,0.0,rainfall,Tipping Bucket Raingauge,mm
261021TP,0.0,rainfall,Tipping Bucket Raingauge,mm
1770,0.0,rainfall,Tipping Bucket Raingauge,mm
602253,0.0,rainfall,Tipping Bucket Raingauge,mm
288504TP,0.0,rainfall,Tipping Bucket Raingauge,mm
269627TP,0.0,rainfall,Tipping Bucket Raingauge,mm
596791,0.0,rainfall,Tipping Bucket Raingauge,mm
259110TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E15500,0.0,rainfall,Tipping Bucket Raingauge,mm
564160,0.0,rainfall,Tipping Bucket Raingauge,mm
1760,0.0,rainfall,Tipping Bucket Raingauge,mm
E7420,0.0,rainfall,Tipping Bucket Raingauge,mm
569848,0.0,rainfall,Tipping Bucket Raingauge,mm
E5451,0.2,rainfall,Tipping Bucket Raingauge,mm
E13980,0.0,rainfall,Tipping Bucket Raingauge,mm
003232,0.0,rainfall,Tipping Bucket Raingauge,mm
2321SO,0.0,rainfall,Tipping Bucket Raingauge,mm
3185,0.0,rainfall,Tipping Bucket Raingauge,mm
E2510,0.0,rainfall,Tipping Bucket Raingauge,mm
023839,0.0,rainfall,Tipping Bucket Raingauge,mm
3774,0.0,rainfall,Tipping Bucket Raingauge,mm
E23535,,rainfall,Tipping Bucket Raingauge,mm
239258TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E12821,0.0,rainfall,Tipping Bucket Raingauge,mm
490001TP,0.0,rainfall,Tipping Bucket Raingauge,mm
593893,0.2,rainfall,Tipping Bucket Raingauge,mm
E14900,0.0,rainfall,Tipping Bucket Raingauge,mm
43206,0.0,rainfall,Tipping Bucket Raingauge,mm
019356,,rainfall,Tipping Bucket Raingauge,mm
E22283,0.0,rainfall,Tipping Bucket Raingauge,mm
026644,0.0,rainfall,Tipping Bucket Raingauge,mm
3778,0.0,rainfall,Tipping Bucket Raingauge,mm
E24884,0.0,rainfall,Tipping Bucket Raingauge,mm
1793,0.0,rainfall,Tipping Bucket Raingauge,mm
53110,0.0,rainfall,Tipping Bucket Raingauge,mm
53100,0.0,rainfall,Tipping Bucket Raingauge,mm
E24703,0.0,rainfall,Tipping Bucket Raingauge,mm
015347,0.2,rainfall,Tipping Bucket Raingauge,mm
036225,0.0,rainfall,Tipping Bucket Raingauge,mm
52148,0.0,rainfall,Tipping Bucket Raingauge,mm
571479,0.1,rainfall,Tipping Bucket Raingauge,mm
52203,0.0,rainfall,Tipping Bucket Raingauge,mm
531101,0.0,rainfall,Tipping Bucket Raingauge,mm
1602,0.0,rainfall,Tipping Bucket Raingauge,mm
E25033,0.0,rainfall,Tipping Bucket Raingauge,mm
008062,0.0,rainfall,Tipping Bucket Raingauge,mm
47155,0.4,rainfall,Tipping Bucket Raingauge,mm
E37241,0.4,rainfall,Tipping Bucket Raingauge,mm
E37051,0.0,rainfall,Tipping Bucket Raingauge,mm
249744TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E43041,,rainfall,Tipping Bucket Raingauge,mm
53114,0.0,rainfall,Tipping Bucket Raingauge,mm
033108NE,0.0,rainfall,Tipping Bucket Raingauge,mm
53104,0.0,rainfall,Tipping Bucket Raingauge,mm
