stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
E1656,53.005364,-0.022347,532798.0,347169.0,,,,
023058,54.918811,-2.328264,379056.0,558286.0,2.118,0.028,0.533,0.08700000000000001
L1721,53.740078,-1.366226,441900.0,427265.0,2.94,-0.079,0.30000000000000004,-0.005
3880TH,51.508638,-0.34256899999999996,515121.0,180159.0,2.725,0.771,3.489,0.842
737536,54.307391,-3.091306,329090.0,490750.0,3.035,0.246,1.3820000000000001,0.429
4086,52.573856,-1.13453,458750.0,297690.0,2.761,0.524,1.607,0.6000000000000001
024005,54.742586,-1.59921,425900.0,538700.0,2.094,0.027,1.4,0.083
E1521,52.227978,-0.934098,472900.0,259400.0,1.329,0.0,0.9490000000000001,0.46
47125,50.34269,-4.005399,257400.0,51120.0,2.32,0.026000000000000002,1.361,0.212
694460,53.384181,-2.8259090000000002,345162.0,387801.0,2.555,0.10300000000000001,2.7,0.219
4049,53.309224,-1.138194,457520.0,379490.0,2.189,0.09,1.05,0.149
E26141,52.145941,-0.521734,501250.0,250770.0,30.96,28.913,29.515,28.979
E21325,52.147499,-0.708027,488500.0,250700.0,1.169,0.015,0.372,0.075
L3602,54.512373,-1.355879,441800.0,513200.0,4.073,0.145,1.8,0.45
712221,53.794282,-2.306373,379915.0,433153.0,1.561,0.12,1.26,0.164
L2024,53.874564,-1.253163,449200.0,442300.0,12.84,3.215,7.296,3.436
5171TH,51.795404,0.134177,547272.0,212905.0,2.948,0.784,2.015,-0.014
5141TH,51.878177,0.160906,548842.0,222164.0,1.8,-0.002,1.15,0.059000000000000004
2601TH,51.560993,-0.694635,490585.0,185487.0,1.464,-0.23900000000000002,0.6000000000000001,0.0
L3491,53.727084,-0.585836,493400.0,426561.0,6.07,,,
1303TH,51.74909,-1.272781,450300.0,205850.0,0.341,-0.312,0.12,-0.15
4389TH,51.45563,0.006130000000000001,539480.0,174870.0,1.078,0.013000000000000001,1.0,0.028
2469_w2TH,51.377564,-0.952526,473000.0,164800.0,1.687,0.126,0.728,0.189
023011,55.245179,-2.5614660000000002,364400.0,594700.0,2.35,0.122,1.6,0.153
E5320,53.144479,0.086945,539680.0,362850.0,2.75,0.0,2.07,0.129
48184,50.336116,-4.633573,212681.0,51783.0,3.146,,,
E13810,51.166603,-1.441818,439124.0,140966.0,0.621,0.232,0.5,0.30000000000000004
2293TH,51.385195,-1.002649,469500.0,165600.0,2.2439999999999998,0.5640000000000001,2.0,0.619
E14521,50.763011,-1.536709,432771.0,96038.0,2.203,,,
E21042,52.131783,-0.9620489999999999,471144.0,248673.0,2.059,0.064,0.582,0.109
49131,50.640424,-4.6751819999999995,210940.0,85720.0,1.776,0.303,1.0,0.343
E4832,52.229209,-1.080484,462900.0,259400.0,1.54,-0.04,1.35,0.0
